-1.083820313215255737e-01,-1.128718927502632141e-01,-9.392508864402770996e-02,-1.436893492937088013e-01,9.931019693613052368e-02,-2.733356319367885590e-02,2.544021233916282654e-02,-9.229686856269836426e-02,-1.815526336431503296e-01,2.524857819080352783e-01
-1.083489656448364258e-01,-1.125877127051353455e-01,-9.371890127658843994e-02,-1.434463560581207275e-01,9.928090870380401611e-02,-2.728333137929439545e-02,2.543216198682785034e-02,-9.216387569904327393e-02,-1.814023107290267944e-01,2.524240016937255859e-01
-1.083147972822189331e-01,-1.122940406203269958e-01,-9.350581467151641846e-02,-1.431952416896820068e-01,9.925063699483871460e-02,-2.723141573369503021e-02,2.542383968830108643e-02,-9.202643483877182007e-02,-1.812469661235809326e-01,2.523601651191711426e-01
-1.082796007394790649e-01,-1.119915470480918884e-01,-9.328633546829223633e-02,-1.429366320371627808e-01,9.921945631504058838e-02,-2.717794664204120636e-02,2.541527152061462402e-02,-9.188490360975265503e-02,-1.810869872570037842e-01,2.522944211959838867e-01
-1.082433015108108521e-01,-1.116795167326927185e-01,-9.305992722511291504e-02,-1.426698416471481323e-01,9.918729215860366821e-02,-2.712278626859188080e-02,2.540643140673637390e-02,-9.173887968063354492e-02,-1.809219419956207275e-01,2.522265613079071045e-01
-1.082057878375053406e-01,-1.113571450114250183e-01,-9.282602369785308838e-02,-1.423941999673843384e-01,9.915406256914138794e-02,-2.706579491496086121e-02,2.539729699492454529e-02,-9.158801287412643433e-02,-1.807514131069183350e-01,2.521564960479736328e-01
-1.081671640276908875e-01,-1.110251024365425110e-01,-9.258510172367095947e-02,-1.421103030443191528e-01,9.911983460187911987e-02,-2.700709924101829529e-02,2.538789249956607819e-02,-9.143263101577758789e-02,-1.805757880210876465e-01,2.520843148231506348e-01
-1.081273108720779419e-01,-1.106826141476631165e-01,-9.233660995960235596e-02,-1.418174654245376587e-01,9.908453375101089478e-02,-2.694655768573284149e-02,2.537818998098373413e-02,-9.127235412597656250e-02,-1.803946197032928467e-01,2.520098686218261719e-01
-1.080861538648605347e-01,-1.103288009762763977e-01,-9.207990765571594238e-02,-1.415149420499801636e-01,9.904806315898895264e-02,-2.688401564955711365e-02,2.536816708743572235e-02,-9.110678732395172119e-02,-1.802074760198593140e-01,2.519329488277435303e-01
-1.080437600612640381e-01,-1.099644377827644348e-01,-9.181554615497589111e-02,-1.412034034729003906e-01,9.901050478219985962e-02,-2.681960351765155792e-02,2.535784430801868439e-02,-9.093627333641052246e-02,-1.800147593021392822e-01,2.518537342548370361e-01
-1.080000475049018860e-01,-1.095886901021003723e-01,-9.154289960861206055e-02,-1.408821493387222290e-01,9.897177666425704956e-02,-2.675317786633968353e-02,2.534720115363597870e-02,-9.076043963432312012e-02,-1.798160076141357422e-01,2.517720460891723633e-01
-1.079548895359039307e-01,-1.092005595564842224e-01,-9.126128256320953369e-02,-1.405502706766128540e-01,9.893176704645156860e-02,-2.668456919491291046e-02,2.533620595932006836e-02,-9.057880938053131104e-02,-1.796106994152069092e-01,2.516876459121704102e-01
-1.079083979129791260e-01,-1.088009104132652283e-01,-9.097130596637725830e-02,-1.402085423469543457e-01,9.889057278633117676e-02,-2.661391906440258026e-02,2.532488666474819183e-02,-9.039177000522613525e-02,-1.793992966413497925e-01,2.516007721424102783e-01
-1.078604534268379211e-01,-1.083887889981269836e-01,-9.067231416702270508e-02,-1.398562192916870117e-01,9.884809702634811401e-02,-2.654107101261615753e-02,2.531321346759796143e-02,-9.019893407821655273e-02,-1.791813373565673828e-01,2.515111863613128662e-01
-1.078109368681907654e-01,-1.079631671309471130e-01,-9.036350250244140625e-02,-1.394923031330108643e-01,9.880422055721282959e-02,-2.646583318710327148e-02,2.530115842819213867e-02,-8.999975770711898804e-02,-1.789562106132507324e-01,2.514186501502990723e-01
-1.077599674463272095e-01,-1.075250282883644104e-01,-9.004560112953186035e-02,-1.391176730394363403e-01,9.875906258821487427e-02,-2.638838067650794983e-02,2.528874762356281281e-02,-8.979472517967224121e-02,-1.787244677543640137e-01,2.513234019279479980e-01
-1.077074110507965088e-01,-1.070732697844505310e-01,-8.971783518791198730e-02,-1.387314200401306152e-01,9.871249645948410034e-02,-2.630852535367012024e-02,2.527595311403274536e-02,-8.958332985639572144e-02,-1.784855127334594727e-01,2.512252032756805420e-01
-1.076531484723091125e-01,-1.066068336367607117e-01,-8.937938511371612549e-02,-1.383325904607772827e-01,9.866441041231155396e-02,-2.622606605291366577e-02,2.526274323463439941e-02,-8.936502784490585327e-02,-1.782387793064117432e-01,2.511237859725952148e-01
-1.075972989201545715e-01,-1.061267331242561340e-01,-8.903104066848754883e-02,-1.379221081733703613e-01,9.861492365598678589e-02,-2.614119835197925568e-02,2.524914592504501343e-02,-8.914037048816680908e-02,-1.779848337173461914e-01,2.510194182395935059e-01
-1.075397208333015442e-01,-1.056318208575248718e-01,-8.867195248603820801e-02,-1.374989598989486694e-01,9.856390953063964844e-02,-2.605370990931987762e-02,2.523512952029705048e-02,-8.890876919031143188e-02,-1.777230352163314819e-01,2.509118318557739258e-01
-1.074802875518798828e-01,-1.051208749413490295e-01,-8.830125629901885986e-02,-1.370620876550674438e-01,9.851124137639999390e-02,-2.596338652074337006e-02,2.522065863013267517e-02,-8.866967260837554932e-02,-1.774527877569198608e-01,2.508007586002349854e-01
-1.074191182851791382e-01,-1.045951023697853088e-01,-8.791977167129516602e-02,-1.366125494241714478e-01,9.845704585313796997e-02,-2.587044052779674530e-02,2.520577050745487213e-02,-8.842363208532333374e-02,-1.771746873855590820e-01,2.506864368915557861e-01
